interview__key;date_q;hh_02;settlement;members;memnal;weight;fdpurch;fdcons;fdout;Z1;nfdpurch;nonfdgif;durble;expend;monincome;totincome;nonmoninc;y1_3amd.1.00;y1_3amd.2.00;y1_3amd.3.00;y1_3amd.4.00;y1_3amd.6.00;y1_3amd.8.00;y1_3amd.9.00;y1_3amd.10.00;y1_3amd.13.00;y1_3amd.14.00;y1_3amd.15.00;y1_3amd.17.00;y1_3amd.18.00;y1_3amd.19.00;y1_3amd.23.00;y1_3amd.28.00;hhch_0_3_sum;hhch_4_5_sum;hhch_6_11_sum;hhch_12_17_sum;hheld_63_65_sum;hheld_66_70_sum;hheld_71_80_sum;hheld_over81_sum;hheld_over63_sum;headsex;headeduc;headmerstatus;headage;aec_r;poverty;pweight;ae_r;hous_01;hous_13;hous_16;hous_29_1n;hous_29_2n;hous_29_3n;hous_29_4n;hous_29_5n;hous_29_6n;hous_39;hous_44;soc_01;soc_05;hous_47_8
00-51-14-44;2019,05;2;1;3;3;76,87037;44777,67857;0;0;2399,223214;8038,690476;19766,6665;0;72583,03555;125000;144766,6665;19766,6665;120000;5000;;;;;;;;;;;;;;;;;;1;;;;;;1;3;1;40;33926,53906;2;230,611115;2,600731;2;1;1;0;0;1;0;0;0;2;3;2;;
00-58-80-70;2019,03;4;1;1;1;109,824074;15968,75;3767,886527;0;3247,818584;9255,357143;2800;0;31791,99367;230000;236567,8865;6567,886527;;;;32000;18000;;;;;;;;180000;;;;;;;;;;;1;1;1;1;3;82;51772,91406;1;109,824074;1;2;1;1;0;1;0;0;0;0;1;2;1;3;
00-59-43-25;2019,12;1;1;2;2;294,296296;19922,91667;6986,13119;0;1721,614554;5496,72619;6741,666748;0;39147,4408;7500;21227,79794;13727,79794;7500;;;;;;;;;;;;;;;;;;;;;;;;;2;2;4;58;26224,35742;2;588,59259;1,827663;2;1;1;;1;;;;;1;5;2;;2
00-61-29-99;2019,08;11;2;4;4;99,796296;79344,04762;2352,807655;13035,71429;3071,747099;88375,29762;23838,88867;0;206946,7559;248000;274191,6963;26191,69633;200000;;;28000;;;;;;;;;20000;;;;;;;;;;1;;1;1;5;1;51;65546,6875;1;399,185181;3,340352;1;1;1;0;0;0;0;0;1;4;3;2;;1
00-61-45-58;2019,06;1;1;4;4;294,296296;88338,69048;912,5;14991,07143;6357,494695;91044,64286;22000;0;217286,9048;200000;222912,5;22912,5;200000;;;;;;;;;;;;;;;;;;;2;;;;;;1;5;1;40;74366,40625;1;1177,185181;2,825577;2;1;1;;;1;;;;1;3;2;;
00-61-60-88;2019,04;1;1;4;4;21,481481;71652,97619;1153,422056;4562,5;5143,949836;37210,11905;19337,5;0;133916,5173;105500;125990,9221;20490,92206;80000;;;25500;;;;;;;;;;;;;;;1;;1;;;;1;2;3;3;65;43424,39453;2;85,925926;3,084571;2;1;1;0;0;0;0;0;0;1;3;2;;1
00-62-61-78;2019,01;1;1;7;7;24,166667;92531,84524;0;6735,119048;3616,564514;46930,65476;119236,1094;0;265433,7284;70000;189236,1094;119236,1094;70000;;;;;;;;;;;;;;;;;1;1;;;;;;;1;5;1;33;49433,76563;1;169,166672;4,959367;1;1;1;0;0;0;0;0;1;1;4;2;;1
00-64-70-97;2019,1;6;2;1;1;146,666667;45735,60606;0;0;1685,83369;3871,212121;0;0;49606,81818;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;2;3;3;53;79793,13281;1;146,666672;0,810843;1;1;1;0;0;1;0;0;0;2;3;2;;1
00-65-16-96;2019,12;9;1;1;1;117,453704;44006,39881;0;0;1131,918778;5083,928571;6250;0;55340,32738;97290;103540;6250;75000;;;;;;;;;;;;;22290;;;;;;;;;;;;2;3;2;52;65519,3125;1;117,453705;1;2;1;1;0;1;0;0;0;0;1;2;2;;1
00-66-80-06;2019,05;9;2;7;7;117,314815;77453,86905;40939,32003;0;2369,603171;45053,86905;12250;0;175697,0581;157500;210689,32;53189,32003;;55000;37500;29000;36000;;;;;;;;;;;;2;;1;;1;;;;1;2;3;3;65;35581,5;2;821,203674;4,718781;1;1;1;0;0;0;0;0;1;2;3;1;4;
00-72-69-25;2019,01;6;2;6;6;146,666667;6387,5;133249,623;0;9069,326637;56705,35714;27255,69434;41666,66667;265264,8412;311083,3333;471588,6507;160505,3174;240000;;32083,33333;39000;;;;;;;;;;;;;;;1;;;1;;;1;2;5;3;66;68276,07813;1;880;4,511097;1;1;1;0;0;0;0;0;1;2;3;2;;2
00-77-32-83;2019,07;1;1;4;4;92,657407;47927,97619;0;3106,845238;4640,710508;78298,51191;76775;12500;218608,3333;453700;530475;76775;453700;;;;;;;;;;;;;;;;;;;;;;;;;1;3;1;61;57141,96094;1;370,629639;3,340352;2;1;1;0;1;0;0;0;0;1;4;2;;1
00-83-26-39;2019,12;6;2;2;2;146,666667;28396,13095;24140,15626;0;2402,567315;76220,53571;36875;0;165631,8229;90000;151015,1563;61015,15626;;;1500;88500;;;;;;;;;;;;;;;;;;2;;;2;1;5;1;69;96307,64844;1;293,333344;1,827663;1;1;1;0;0;0;0;0;1;2;3;2;;2
00-85-73-06;2019,03;1;1;3;3;92,657407;38911,60714;0;1412,202381;4424,11559;23355,65476;162883,3281;0;226562,7924;198000;360883,3281;162883,3281;110000;;;88000;;;;;;;;;;;;;;;;;1;1;;;2;1;3;1;66;99294,66406;1;277,972229;2,600731;2;1;1;0;0;1;0;0;0;1;3;2;;2
00-86-01-02;2019,05;4;1;6;6;109,824074;34349,10714;0;0;3328,995525;27201,19048;20997,22225;0;82547,51987;200000;220997,2223;20997,22225;200000;;;;;;;;;;;;;;;;;1;1;;;;;;;1;5;1;56;31827,70313;2;658,944458;4,266974;2;1;1;0;0;1;0;0;0;1;3;2;;
00-87-80-96;2019,06;3;1;2;2;91,064815;38650,89286;54,315476;0;1230,78869;8864,285714;17477,77783;0;65047,27188;125150;142682,0933;17532,09331;;;;88000;;;;;;;;;;37150;;;;;;;;2;;;2;1;5;1;67;44848,61719;1;182,129623;1,827663;2;1;1;0;0;1;0;0;0;1;4;2;;1
00-90-52-83;2019,02;11;2;1;1;99,796296;12036,30952;10748,89061;0;813,304413;24441,96429;15083,3335;0;62310,49791;82000;107832,2241;25832,2241;80000;;;;;;;;;;;;2000;;;;;;;;;;;;;2;3;3;57;72865,77344;1;99,796295;1;1;3;;0;0;1;0;0;0;5;4;2;;3
00-97-87-09;2019,08;6;2;5;4;146,666667;16750,89286;17578,34242;0;5167,574409;70677,08333;44052,77605;20833,33333;169892,428;76666,66667;138297,7851;61631,11847;;;15666,66667;32000;29000;;;;;;;;;;;;;1;1;;;;;;;2;3;3;55;62586,19141;1;586,666687;2,825985;1;1;2;0;0;0;0;0;1;1;3;1;6;2
00-99-03-89;2019,05;11;1;2;2;150,777778;118559,8214;5475;14122,02381;3936,009774;222117,5595;36787,5;0;397061,9048;199000;241262,5;42262,5;85000;100000;;;;;;;;;;;14000;;;;;;;;;;;;;1;5;1;59;212496,7344;1;301,555542;1,827663;2;1;1;0;0;1;0;0;0;2;3;2;;
01-00-01-37;2019,02;6;1;2;2;156,330247;28830,65476;0;0;2214,864417;22377,97619;13700;0;64908,63095;80000;93700;13700;;80000;;;;;;;;;;;;;;;;;;;;;;;;1;3;1;62;48868,97266;1;312,660492;1,827663;2;1;1;0;1;0;0;0;0;1;3;2;;
01-01-38-66;2019,07;10;2;3;3;40,74537;11254,16667;4768,592274;0;2962,921293;31120,83333;27422,22266;0;74565,81493;68500;100690,8149;32190,81493;;;7500;61000;;;;;;;;;;;;;;;;;1;;;;1;1;3;1;64;54573,99219;1;122,236115;1,941095;1;1;1;0;0;0;0;0;1;1;3;2;;1
01-02-31-05;2019,12;6;2;3;3;146,666667;52142,85714;26136,73074;0;3881,771535;93804,94048;28983,33301;0;201067,8614;241583,3333;296703,3971;55120,06375;;62500;81083,33333;98000;;;;;;;;;;;;;;;;;1;1;;;2;1;6;1;70;75807,29688;1;440;2,600731;1;1;1;0;0;0;0;0;1;2;3;2;;2
01-02-45-60;2019,11;8;2;5;3;126,657407;37347,32143;26061,60537;0;3669,336325;9125;34094,44434;0;106628,3711;194741,6667;254897,7164;60156,04971;;15000;68291,66667;;;;;;;;;;;111450;;;;;;1;;;;;;1;;1;53;53718,51953;1;379,972229;2,335501;1;1;1;0;0;1;0;0;0;1;2;2;;2
01-03-59-89;2019,03;10;2;4;4;40,74537;12058,03571;35174,70238;0;3933,700387;66815,17857;31595,8335;0;145643,7502;134500;201270,5359;66770,53588;90000;;;44500;;;;;;;;;;;;;;;;1;;;1;;1;2;3;3;77;57431,55078;1;162,981476;3,340352;1;1;1;0;0;0;0;0;1;1;3;2;;
